Name,Slug,Short Description,Category,Pricing,URL,Logo URL,Date Added,Full Details,Tags,Features
Taplio,taplio,Grow your personal brand on LinkedIn with AI.,Marketing,Paid,https://taplio.com,https://www.google.com/s2/favicons?domain=taplio.com&sz=128,2026-04-06,"Taplio is a leading tool in the Marketing space. Grow your personal brand on LinkedIn with AI. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage LinkedIn.","LinkedIn, Scheduling, Growth","AI Integration, Cloud Sync, Analytics"
TweetHunter,tweethunter,Build and monetize your Twitter audience.,Marketing,Paid,https://tweethunter.io,https://www.google.com/s2/favicons?domain=tweethunter.io&sz=128,2026-04-06,"TweetHunter is a leading tool in the Marketing space. Build and monetize your Twitter audience. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Twitter/X.","Twitter/X, Ghostwriting, Analytics","AI Integration, Cloud Sync, Analytics"
Superhuman,superhuman,"The fastest email experience ever made, now with AI.",Productivity,Paid,https://superhuman.com,https://www.google.com/s2/favicons?domain=superhuman.com&sz=128,2026-04-06,"Superhuman is a leading tool in the Productivity space. The fastest email experience ever made, now with AI. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Email.","Email, Speed, Workflow","AI Integration, Cloud Sync, Analytics"
Arc Search,arc-search,"Browser that browses for you, summarizing pages.",Productivity,Free,https://arc.net,https://www.google.com/s2/favicons?domain=arc.net&sz=128,2026-04-06,"Arc Search is a leading tool in the Productivity space. Browser that browses for you, summarizing pages. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Mobile.","Mobile, Browser, Tabs","AI Integration, Cloud Sync, Analytics"
Raycast,raycast,"Blazingly fast, totally extendable launcher.",Productivity,Freemium,https://raycast.com,https://www.google.com/s2/favicons?domain=raycast.com&sz=128,2026-04-06,"Raycast is a leading tool in the Productivity space. Blazingly fast, totally extendable launcher. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Mac.","Mac, Commands, AI Integration","AI Integration, Cloud Sync, Analytics"
Mem,mem,The AI workspace that organizes itself.,Productivity,Paid,https://mem.ai,https://www.google.com/s2/favicons?domain=mem.ai&sz=128,2026-04-06,"Mem is a leading tool in the Productivity space. The AI workspace that organizes itself. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Notes.","Notes, Self-organizing, Brain","AI Integration, Cloud Sync, Analytics"
Taskade,taskade,Build a team of AI agents for your workflows.,Automation,Freemium,https://taskade.com,https://www.google.com/s2/favicons?domain=taskade.com&sz=128,2026-04-06,"Taskade is a leading tool in the Automation space. Build a team of AI agents for your workflows. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Tasks.","Tasks, Agents, Collaboration","AI Integration, Cloud Sync, Analytics"
Bardeen,bardeen,Automate repetitive tasks with one click.,Automation,Freemium,https://bardeen.ai,https://www.google.com/s2/favicons?domain=bardeen.ai&sz=128,2026-04-06,"Bardeen is a leading tool in the Automation space. Automate repetitive tasks with one click. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Scraping.","Scraping, Shortcuts, Integration","AI Integration, Cloud Sync, Analytics"
Browse AI,browse-ai,Extract and monitor web data easily.,Automation,Freemium,https://browse.ai,https://www.google.com/s2/favicons?domain=browse.ai&sz=128,2026-04-06,"Browse AI is a leading tool in the Automation space. Extract and monitor web data easily. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Scraping.","Scraping, Monitoring, No-Code","AI Integration, Cloud Sync, Analytics"
AgentGPT,agentgpt,"Assemble, configure, and deploy autonomous AI Agents.",Automation,Freemium,https://agentgpt.reworkd.ai,https://www.google.com/s2/favicons?domain=agentgpt.reworkd.ai&sz=128,2026-04-06,"AgentGPT is a leading tool in the Automation space. Assemble, configure, and deploy autonomous AI Agents. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Browser Agents.","Browser Agents, Tasks, Goals","AI Integration, Cloud Sync, Analytics"
BabyAGI,babyagi,An AI-powered task management system.,Coding & Development,Free,https://github.com/yoheinakajima/babyagi,https://www.google.com/s2/favicons?domain=github.com&sz=128,2026-04-06,"BabyAGI is a leading tool in the Coding & Development space. An AI-powered task management system. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Open Source.","Open Source, Autonomous, Scripts","AI Integration, Cloud Sync, Analytics"
AutoGPT,autogpt,An experimental open-source attempt to make GPT-4 fully autonomous.,Coding & Development,Free,https://agpt.co,https://www.google.com/s2/favicons?domain=agpt.co&sz=128,2026-04-06,"AutoGPT is a leading tool in the Coding & Development space. An experimental open-source attempt to make GPT-4 fully autonomous. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Agents.","Agents, Local, Advanced","AI Integration, Cloud Sync, Analytics"
